side,signal_ts,entry_ts,exit_ts,entry,exit,stop,tp1,tp2,qty,pnl_gross_usdt,pnl_net_usdt,fees_usdt,tp1_pnl_gross_usdt,tp1_fee_usdt,pnl_R,exit_reason,took_tp1,funding_cost_usdt,holding_hours,tp_fill_price,tp_bidask_half_spread_bps
SHORT,2022-01-22 08:35:00+00:00,2022-01-22 08:40:00+00:00,2022-01-22 09:45:00+00:00,101.68982999000102,96.90675240593677,104.10146863516661,99.2985313448334,96.8970626996668,5.312870514560816,19.031887952359916,18.58027554306397,0.42459916432671896,6.32595201974406,0.10552259906901812,1.485389693530439,TP2,True,0.027013244969228932,1.0833333333333333,96.90675240593677,1.0
SHORT,2022-01-23 17:55:00+00:00,2022-01-23 18:00:00+00:00,2022-01-23 18:25:00+00:00,98.340164990001,96.88241979559469,99.08863372382878,97.61136625617122,96.87273252234245,17.587804084571747,19.142414636756126,17.67992218044552,1.3760130785361768,6.323146194534021,0.34338825261990624,1.4541574639184283,TP2,True,0.08647937777442996,0.4166666666666667,96.88241979559469,1.0
SHORT,2022-01-23 20:55:00+00:00,2022-01-23 21:00:00+00:00,2022-01-23 22:50:00+00:00,95.69042999000101,95.709568075999,96.78773757988466,94.61226240011536,93.5245248102307,12.146260781051843,6.3741650039139,5.38877589054236,0.9272750675260636,6.490393095604818,0.22986002614366535,0.4782470691553925,STOP,True,0.058114045845476824,1.8333333333333333,94.62172362635536,1.0
SHORT,2022-01-24 11:30:00+00:00,2022-01-24 11:35:00+00:00,2022-01-24 14:35:00+00:00,83.871611990001,87.55712769070074,87.53961976674739,80.22038021325261,76.56076043650522,3.6286021326854954,-13.37327013160495,-13.652522478782412,0.24881867616359238,0.0,0.0,-1.0047731425392112,STOP,False,0.030433671013868797,3.0,,1.0
LONG,2022-01-24 19:45:00+00:00,2022-01-24 19:55:00+00:00,2022-01-24 20:20:00+00:00,88.668866010001,91.22176900737013,87.3745539667101,89.94544605328988,91.23089209657978,10.197742382239026,19.480178728526575,18.70379774207419,0.7311698738076191,6.46325518151846,0.1834297526516595,1.4758761288888127,TP2,True,0.04521111264476303,0.4166666666666667,91.22176900737013,1.0
SHORT,2022-01-26 02:40:00+00:00,2022-01-26 02:45:00+00:00,2022-01-26 03:20:00+00:00,93.100688990001,94.07318242683955,94.05437155252905,92.16562842747096,91.22125686494192,14.12838505194234,-13.739761736141768,-14.9290837852229,1.0577858108159472,0.0,0.0,-1.019724460789803,STOP,False,0.13153623826518632,0.5833333333333334,,1.0
LONG,2022-01-26 10:20:00+00:00,2022-01-26 10:25:00+00:00,2022-01-26 11:55:00+00:00,96.019601010001,98.00927667634784,95.00546072289687,97.01453929710313,98.01907858420626,13.096383276494846,19.480297153869778,18.403621962657606,1.0137997163680157,6.451519592673026,0.25408250721368614,1.4667164579439562,TP2,True,0.06287547484415423,1.5,98.00927667634784,1.0
LONG,2022-01-26 13:05:00+00:00,2022-01-26 13:20:00+00:00,2022-01-26 13:50:00+00:00,97.10971001000098,99.83166503535497,95.72917541486248,98.4708246051375,99.841649200275,9.764835590354982,19.887174203395674,19.073198034110813,0.7665631516611255,6.597452549934543,0.19229105151491563,1.4752337798609667,TP2,True,0.047413017623735454,0.5,99.83166503535497,1.0
LONG,2022-01-26 16:05:00+00:00,2022-01-26 16:15:00+00:00,2022-01-26 18:00:00+00:00,99.489948010001,97.19955370756037,97.21899750706179,101.74100251293821,104.00200501587642,6.025774740387976,-13.801400133175298,-14.335433187199087,0.4740826524596715,0.0,0.0,-1.0085619653428164,STOP,False,0.059950401564117704,1.75,,1.0
SHORT,2022-01-27 05:10:00+00:00,2022-01-27 05:15:00+00:00,2022-01-27 05:45:00+00:00,87.53124599000101,88.72494347973868,88.70720203933082,86.3727979406692,85.20559589133839,11.519084346217111,-13.750302068155888,-14.66325401392262,0.8121239652179024,0.0,0.0,-1.0150868226903305,STOP,False,0.10082798054883,0.5,,1.0
