side,signal_ts,entry_ts,exit_ts,entry,exit,stop,tp1,tp2,qty,pnl_gross_usdt,pnl_net_usdt,fees_usdt,tp1_pnl_gross_usdt,tp1_fee_usdt,pnl_R,exit_reason,took_tp1
LONG,2022-01-28 17:30:00+00:00,2022-01-28 17:35:00+00:00,2022-01-28 17:50:00+00:00,91.308258010002,90.3368059590765,90.37295514113295,92.20704487886705,93.1240897477341,14.995938091896802,-14.567834814925078,-14.567834814925078,0.0,0.0,0.0,-1.0386497072335068,STOP,False
LONG,2022-01-28 18:00:00+00:00,2022-01-28 18:05:00+00:00,2022-01-28 19:10:00+00:00,91.01820001000199,90.98179272999799,89.78727486523495,92.21272515476504,93.42545029953008,11.18955123872228,6.47940959410051,6.47940959410051,0.0,6.683100156634139,0.0,0.4704257889614514,STOP,True
LONG,2022-01-28 20:20:00+00:00,2022-01-28 20:30:00+00:00,2022-01-28 22:25:00+00:00,91.538304010002,91.50168868839799,90.55147371035655,92.48852630964343,93.45705260928688,14.094447172768662,6.438392644310728,6.438392644310728,0.0,6.696429002341508,0.0,0.462899739887233,STOP,True
LONG,2022-01-28 23:00:00+00:00,2022-01-28 23:05:00+00:00,2022-01-29 00:00:00+00:00,90.87817201000199,90.84182074119799,90.04996740686897,91.67003261313101,92.48006521626203,16.951567900773135,6.403533890239297,6.403533890239297,0.0,6.711639390944407,0.0,0.45611273558913373,STOP,True
LONG,2022-01-29 09:20:00+00:00,2022-01-29 09:25:00+00:00,2022-01-29 11:10:00+00:00,96.25924801000198,96.22074431079798,94.99960625627939,97.48039376372058,98.72078751744118,11.13466333252317,6.584160559951804,6.584160559951804,0.0,6.798523423798444,0.0,0.469435873739326,STOP,True
LONG,2022-01-29 22:30:00+00:00,2022-01-29 22:35:00+00:00,2022-01-29 23:00:00+00:00,95.789154010002,95.1239283117314,95.161993108975,96.37800691102498,96.98601381204998,22.85116966768076,-15.201185298482644,-15.201185298482644,0.0,0.0,0.0,-1.060693830213682,STOP,False
SHORT,2022-01-30 15:50:00+00:00,2022-01-30 16:00:00+00:00,2022-01-30 16:05:00+00:00,94.841027990002,95.49693571079408,95.45875220991012,94.2612477700899,93.66249555017978,22.887020010162402,-15.011773130588171,-15.011773130588171,0.0,0.0,0.0,-1.0618131840283678,STOP,False
LONG,2022-02-01 07:00:00+00:00,2022-02-01 07:05:00+00:00,2022-02-01 08:40:00+00:00,105.32106001000199,106.78237743924944,104.55881129537526,106.04118872462472,106.78237743924944,18.235581043517154,19.889968974306413,19.889968974306413,0.0,6.5659827686333285,0.0,1.4309280566897762,TP2,True
LONG,2022-02-01 10:20:00+00:00,2022-02-01 10:25:00+00:00,2022-02-01 14:00:00+00:00,105.40107601000199,108.63507374570365,103.75246314214816,107.00753687785182,108.63507374570365,8.457339282535663,20.4687003466519,20.4687003466519,0.0,6.793192301761364,0.0,1.468039798164632,TP2,True
LONG,2022-02-01 15:20:00+00:00,2022-02-01 15:25:00+00:00,2022-02-01 16:30:00+00:00,107.921580010002,111.76544576206793,105.96727713396604,109.83272288603396,111.76544576206793,7.254268273246799,20.874188251536033,20.874188251536033,0.0,6.9319715656201435,0.0,1.4723942482679861,TP2,True
LONG,2022-02-01 17:50:00+00:00,2022-02-01 17:55:00+00:00,2022-02-01 18:50:00+00:00,111.34226401000198,111.29772710439798,110.11876460117553,112.52123541882445,113.7224708276489,11.88894157533337,6.74361276490329,6.74361276490329,0.0,7.008361099239366,0.0,0.4636023912371865,STOP,True
LONG,2022-02-02 09:00:00+00:00,2022-02-02 09:05:00+00:00,2022-02-02 12:45:00+00:00,109.62192001000199,111.65630143246945,108.57184929876526,110.62815072123472,111.65630143246945,13.972380309930308,21.242294553523884,21.242294553523884,0.0,7.029719088437695,0.0,1.4478130382853416,TP2,True
SHORT,2022-02-02 17:15:00+00:00,2022-02-02 17:30:00+00:00,2022-02-02 18:35:00+00:00,105.42890999000201,106.67434808457527,106.6316954064127,104.26830457358732,103.08660915717462,12.381567392071727,-15.420475700612213,-15.420475700612213,0.0,0.0,0.0,-1.0354615857330984,STOP,False
SHORT,2022-02-02 22:50:00+00:00,2022-02-02 22:55:00+00:00,2022-02-03 09:55:00+00:00,101.299735990002,95.87885504986723,104.04057246006639,98.59942751993361,95.87885504986723,5.307149744335263,21.550184151029004,21.550184151029004,0.0,7.165470703274908,0.0,1.481516591541197,TP2,True
LONG,2022-02-04 00:40:00+00:00,2022-02-04 00:45:00+00:00,2022-02-04 02:40:00+00:00,100.970190010002,102.77875441569344,100.03562280715327,101.86437721284672,102.77875441569344,16.085115360549654,21.737035707107648,21.737035707107648,0.0,7.191552155842262,0.0,1.4459910428579654,TP2,True
LONG,2022-02-04 04:35:00+00:00,2022-02-04 04:40:00+00:00,2022-02-04 05:10:00+00:00,102.260448010002,103.52397299450436,101.5980135177478,102.88198650225218,103.52397299450436,23.333163420050234,21.992247080117647,21.992247080117647,0.0,7.251229605762552,0.0,1.4228301053119108,TP2,True
SHORT,2022-02-05 12:30:00+00:00,2022-02-05 12:35:00+00:00,2022-02-05 13:35:00+00:00,114.837027990002,114.882962801198,115.46349605347689,114.25650392652312,113.65300786304624,25.276848928892647,6.756365884481899,6.756365884481899,0.0,7.336909526071216,0.0,0.4266691978818639,STOP,True
SHORT,2022-02-05 18:15:00+00:00,2022-02-05 18:20:00+00:00,2022-02-05 19:50:00+00:00,113.547285990002,113.59270490439799,115.00073812064734,112.13926185935266,110.70852372870532,10.720992941106864,7.304240452483739,7.304240452483739,0.0,7.54770838279984,0.0,0.46874788220522057,STOP,True
LONG,2022-02-06 11:35:00+00:00,2022-02-06 11:40:00+00:00,2022-02-06 11:45:00+00:00,114.82296001000199,114.11511141496733,114.16077572525744,115.43922429474254,116.0784485794851,24.139002183111877,-17.086758780854375,-17.086758780854375,0.0,0.0,0.0,-1.0689601238539244,STOP,False
LONG,2022-02-06 23:05:00+00:00,2022-02-06 23:10:00+00:00,2022-02-07 00:10:00+00:00,113.802756010002,113.757234907598,112.2196139657292,115.3403860542708,116.9007720985416,9.751850816666975,7.275411901640171,7.275411901640171,0.0,7.497369401467163,0.0,0.47124923100320415,STOP,True
LONG,2022-02-08 06:50:00+00:00,2022-02-08 06:55:00+00:00,2022-02-08 08:05:00+00:00,118.143624010002,116.52881333906878,116.57544351647536,119.66455650352464,121.20911299704927,9.910673149919507,-16.003860758621407,-16.003860758621407,0.0,0.0,0.0,-1.0297352107101643,STOP,False
SHORT,2022-02-10 13:20:00+00:00,2022-02-10 13:25:00+00:00,2022-02-10 13:30:00+00:00,113.317331990002,111.8268556253396,114.09657217233021,112.5834278076698,111.8268556253396,19.96841367190535,22.20867546306359,22.20867546306359,0.0,7.327451154175373,0.0,1.4272753108987557,TP2,True
SHORT,2022-02-11 01:20:00+00:00,2022-02-11 01:25:00+00:00,2022-02-11 07:05:00+00:00,105.08897799000201,105.131013581198,106.79505889171801,103.424941088282,101.73988218656399,9.13033647490185,7.404708863907997,7.404708863907997,0.0,7.596608409678436,0.0,0.4753588498917533,STOP,True
LONG,2022-02-11 15:35:00+00:00,2022-02-11 15:40:00+00:00,2022-02-11 16:05:00+00:00,107.09141401000198,106.3010351360096,106.34357256503561,107.79642745496436,108.52285489992873,21.306620118506043,-16.84030241784822,-16.84030241784822,0.0,0.0,0.0,-1.0568802776475237,STOP,False
SHORT,2022-02-12 21:00:00+00:00,2022-02-12 21:05:00+00:00,2022-02-12 21:30:00+00:00,97.46050399000201,95.82798510386206,98.30600743306898,96.65399254693104,95.82798510386206,18.483138331738825,22.540467485055984,22.540467485055984,0.0,7.453431284205559,0.0,1.442353871655211,TP2,True
SHORT,2022-02-13 11:00:00+00:00,2022-02-13 11:05:00+00:00,2022-02-13 11:25:00+00:00,96.050785990002,96.7636610356747,96.72497104725579,95.4150289327442,94.76005787548841,23.73992790154761,-16.923602187082437,-16.923602187082437,0.0,0.0,0.0,-1.057387786932727,STOP,False
SHORT,2022-02-14 00:00:00+00:00,2022-02-14 00:05:00+00:00,2022-02-14 03:20:00+00:00,92.37152199000201,92.408470598798,93.58848569022531,91.1915142897747,89.9930285895494,12.797333040044697,7.314053938748697,7.314053938748697,0.0,7.550475764813037,0.0,0.46963565602719676,STOP,True
SHORT,2022-02-17 16:50:00+00:00,2022-02-17 16:55:00+00:00,2022-02-17 17:45:00+00:00,97.230549990002,96.04588528176363,97.8520573441182,96.64794263588182,96.04588528176363,25.626871290936812,22.644826839065605,22.644826839065605,0.0,7.465201838595614,0.0,1.4217627922293004,TP2,True
SHORT,2022-02-17 22:10:00+00:00,2022-02-17 22:15:00+00:00,2022-02-18 01:00:00+00:00,93.511293990002,94.58583613168864,94.54801692491867,92.51198305508134,91.49396612016268,15.433836236223739,-16.58430744371265,-16.58430744371265,0.0,0.0,0.0,-1.036479569898786,STOP,False
SHORT,2022-02-18 01:25:00+00:00,2022-02-18 01:30:00+00:00,2022-02-18 01:35:00+00:00,93.87122199000201,94.88276530608537,94.84482737513532,92.93517260486469,91.98034521972937,16.238121211818164,-16.425562977566123,-16.425562977566123,0.0,0.0,0.0,-1.0389664349944574,STOP,False
SHORT,2022-02-18 04:10:00+00:00,2022-02-18 04:15:00+00:00,2022-02-18 05:15:00+00:00,94.281139990002,94.318852445998,94.74101611551443,93.85898386448558,93.41796773897116,34.69098382995689,6.66836456143113,6.66836456143113,0.0,7.322505662003745,0.0,0.4179861142955082,STOP,True
LONG,2022-02-18 10:35:00+00:00,2022-02-18 10:40:00+00:00,2022-02-18 11:05:00+00:00,95.49909601000199,94.92548304826191,94.96346843563616,95.99653158436384,96.51306315872768,29.780634136324128,-17.082557749434674,-17.082557749434674,0.0,0.0,0.0,-1.0709175352281344,STOP,False
SHORT,2022-02-18 19:05:00+00:00,2022-02-18 19:10:00+00:00,2022-02-18 19:30:00+00:00,90.40191599000201,91.01763019687944,90.98123770179872,89.8587622782013,89.29752456640259,27.027951873557424,-16.641493951348696,-16.641493951348696,0.0,0.0,0.0,-1.0628191458038938,STOP,False
