ts,equity_usdt,note
2017-09-05 10:30:00+00:00,1023.4178317205972,
2017-09-05 10:40:00+00:00,1023.3167780342017,STOP
2017-09-05 14:40:00+00:00,1023.3167780342017,
2017-09-05 18:50:00+00:00,1023.3167780342017,
2017-09-05 23:00:00+00:00,1023.3167780342017,
2017-09-06 03:10:00+00:00,1023.3167780342017,
2017-09-06 07:20:00+00:00,1023.3167780342017,
2017-09-06 11:30:00+00:00,1023.3167780342017,
2017-09-06 11:40:00+00:00,1030.4520967035428,TP1
2017-09-06 11:55:00+00:00,1044.7994828005776,TP2
2017-09-06 15:40:00+00:00,1044.7994828005776,
2017-09-07 02:45:00+00:00,1044.7994828005776,
2017-09-07 06:55:00+00:00,1044.7994828005776,
2017-09-07 11:05:00+00:00,1044.7994828005776,
2017-09-07 12:40:00+00:00,1051.3572535711114,TP1
2017-09-07 13:55:00+00:00,1064.551155073389,TP2
2017-09-07 15:15:00+00:00,1064.551155073389,
2017-09-07 19:25:00+00:00,1064.551155073389,
2017-09-07 23:35:00+00:00,1064.551155073389,
2017-09-08 03:45:00+00:00,1064.551155073389,
2017-09-08 07:55:00+00:00,1064.551155073389,
2017-09-08 12:05:00+00:00,1064.551155073389,
2017-09-08 16:15:00+00:00,1064.551155073389,
2017-09-08 20:25:00+00:00,1064.551155073389,
2017-09-09 00:35:00+00:00,1064.551155073389,
2017-09-09 04:45:00+00:00,1064.551155073389,
2017-09-09 08:55:00+00:00,1064.551155073389,
2017-09-09 13:05:00+00:00,1064.551155073389,
2017-09-09 14:15:00+00:00,1060.172787954786,STOP
2017-09-09 17:15:00+00:00,1060.172787954786,
2017-09-09 21:25:00+00:00,1060.172787954786,
2017-09-10 01:35:00+00:00,1060.172787954786,
2017-09-10 05:45:00+00:00,1060.172787954786,
2017-09-10 09:55:00+00:00,1060.172787954786,
2017-09-10 14:05:00+00:00,1060.172787954786,
2017-09-10 18:15:00+00:00,1060.172787954786,
2017-09-10 22:25:00+00:00,1060.172787954786,
2017-09-11 02:35:00+00:00,1060.172787954786,
2017-09-11 06:45:00+00:00,1060.172787954786,
2017-09-11 10:55:00+00:00,1060.172787954786,
2017-09-11 15:05:00+00:00,1060.172787954786,
2017-09-11 19:15:00+00:00,1060.172787954786,
2017-09-11 23:25:00+00:00,1060.172787954786,
2017-09-12 03:35:00+00:00,1060.172787954786,
2017-09-12 04:45:00+00:00,1061.4102462546755,TP1
2017-09-12 04:50:00+00:00,1063.9646758135511,TP2
2017-09-12 07:45:00+00:00,1063.9646758135511,
2017-09-12 11:55:00+00:00,1063.9646758135511,
2017-09-12 16:05:00+00:00,1063.9646758135511,
2017-09-12 20:15:00+00:00,1063.9646758135511,
2017-09-13 00:25:00+00:00,1063.9646758135511,
2017-09-13 04:35:00+00:00,1063.9646758135511,
2017-09-13 08:45:00+00:00,1063.9646758135511,
2017-09-13 12:55:00+00:00,1063.9646758135511,
2017-09-13 17:05:00+00:00,1063.9646758135511,
2017-09-13 21:15:00+00:00,1063.9646758135511,
2017-09-14 01:25:00+00:00,1063.9646758135511,
2017-09-14 05:35:00+00:00,1063.9646758135511,
2017-09-14 09:45:00+00:00,1063.9646758135511,
2017-09-14 13:55:00+00:00,1063.9646758135511,
2017-09-14 18:05:00+00:00,1063.9646758135511,
2017-09-14 22:15:00+00:00,1063.9646758135511,
2017-09-15 02:25:00+00:00,1063.9646758135511,
2017-09-15 06:35:00+00:00,1063.9646758135511,
2017-09-15 10:45:00+00:00,1063.9646758135511,
2017-09-15 14:55:00+00:00,1063.9646758135511,
2017-09-15 19:05:00+00:00,1063.9646758135511,
2017-09-15 23:15:00+00:00,1063.9646758135511,
2017-09-16 03:25:00+00:00,1063.9646758135511,
2017-09-16 07:35:00+00:00,1063.9646758135511,
2017-09-16 11:45:00+00:00,1063.9646758135511,
2017-09-16 15:55:00+00:00,1063.9646758135511,
2017-09-16 20:05:00+00:00,1063.9646758135511,
2017-09-17 00:15:00+00:00,1063.9646758135511,
2017-09-17 04:25:00+00:00,1063.9646758135511,
2017-09-17 08:35:00+00:00,1063.9646758135511,
2017-09-17 12:45:00+00:00,1063.9646758135511,
2017-09-17 16:55:00+00:00,1063.9646758135511,
2017-09-17 20:35:00+00:00,1065.7829449973462,TP1
2017-09-17 20:40:00+00:00,1065.6765378901182,STOP
2017-09-17 21:05:00+00:00,1065.6765378901182,
2017-09-18 01:15:00+00:00,1065.6765378901182,
2017-09-18 05:25:00+00:00,1065.6765378901182,
2017-09-18 09:35:00+00:00,1065.6765378901182,
2017-09-18 09:40:00+00:00,1050.5796567402542,STOP
2017-09-18 13:45:00+00:00,1050.5796567402542,
2017-09-18 17:55:00+00:00,1050.5796567402542,
2017-09-18 22:05:00+00:00,1050.5796567402542,
2017-09-19 02:15:00+00:00,1050.5796567402542,
2017-09-19 06:25:00+00:00,1050.5796567402542,
2017-09-19 10:35:00+00:00,1050.5796567402542,
2017-09-19 14:45:00+00:00,1050.5796567402542,
2017-09-19 18:55:00+00:00,1050.5796567402542,
2017-09-19 23:05:00+00:00,1050.5796567402542,
2017-09-20 03:15:00+00:00,1050.5796567402542,
2017-09-20 07:25:00+00:00,1050.5796567402542,
2017-09-20 11:35:00+00:00,1050.5796567402542,
2017-09-20 15:45:00+00:00,1050.5796567402542,
2017-09-20 19:55:00+00:00,1050.5796567402542,
2017-09-21 00:05:00+00:00,1050.5796567402542,
2017-09-21 04:15:00+00:00,1050.5796567402542,
2017-09-21 08:25:00+00:00,1050.5796567402542,
2017-09-21 12:35:00+00:00,1050.5796567402542,
2017-09-21 16:45:00+00:00,1050.5796567402542,
2017-09-21 20:55:00+00:00,1050.5796567402542,
2017-09-22 01:05:00+00:00,1050.5796567402542,
2017-09-22 05:15:00+00:00,1050.5796567402542,
2017-09-22 09:25:00+00:00,1050.5796567402542,
2017-09-22 13:35:00+00:00,1050.5796567402542,
2017-09-22 17:45:00+00:00,1050.5796567402542,
2017-09-22 21:55:00+00:00,1050.5796567402542,
2017-09-23 02:05:00+00:00,1050.5796567402542,
2017-09-23 06:15:00+00:00,1050.5796567402542,
2017-09-23 10:25:00+00:00,1050.5796567402542,
2017-09-23 12:35:00+00:00,1051.9403230098378,TP1
2017-09-23 12:45:00+00:00,1051.8352545383673,STOP
2017-09-23 14:35:00+00:00,1051.8352545383673,
2017-09-23 18:45:00+00:00,1051.8352545383673,
2017-09-23 19:50:00+00:00,1063.4614757583347,TP2
2017-09-23 19:50:00+00:00,1055.6843657303264,TP1
2017-09-23 22:55:00+00:00,1063.4614757583347,
2017-09-24 03:05:00+00:00,1063.4614757583347,
2017-09-24 07:15:00+00:00,1063.4614757583347,
2017-09-24 11:25:00+00:00,1063.4614757583347,
2017-09-24 13:05:00+00:00,1068.8431700877452,TP1
2017-09-24 14:30:00+00:00,1068.7368133055545,STOP
2017-09-24 15:35:00+00:00,1068.7368133055545,
2017-09-24 19:45:00+00:00,1068.7368133055545,
2017-09-24 23:55:00+00:00,1068.7368133055545,
2017-09-25 04:05:00+00:00,1068.7368133055545,
2017-09-25 08:15:00+00:00,1068.7368133055545,
2017-09-25 12:25:00+00:00,1068.7368133055545,
2017-09-25 16:35:00+00:00,1068.7368133055545,
2017-09-25 20:45:00+00:00,1068.7368133055545,
2017-09-26 00:55:00+00:00,1068.7368133055545,
2017-09-26 05:05:00+00:00,1068.7368133055545,
2017-09-26 09:15:00+00:00,1068.7368133055545,
2017-09-26 13:25:00+00:00,1068.7368133055545,
2017-09-26 17:35:00+00:00,1068.7368133055545,
2017-09-26 21:45:00+00:00,1068.7368133055545,
2017-09-27 01:55:00+00:00,1068.7368133055545,
2017-09-27 06:05:00+00:00,1068.7368133055545,
2017-09-27 10:15:00+00:00,1068.7368133055545,
2017-09-27 14:25:00+00:00,1068.7368133055545,
2017-09-27 18:35:00+00:00,1068.7368133055545,
2017-09-27 22:45:00+00:00,1068.7368133055545,
2017-09-28 02:55:00+00:00,1068.7368133055545,
2017-09-28 07:05:00+00:00,1068.7368133055545,
2017-09-28 11:15:00+00:00,1068.7368133055545,
2017-09-28 15:25:00+00:00,1068.7368133055545,
2017-09-28 19:35:00+00:00,1068.7368133055545,
2017-09-28 23:45:00+00:00,1068.7368133055545,
2017-09-29 03:55:00+00:00,1068.7368133055545,
2017-09-29 08:05:00+00:00,1068.7368133055545,
2017-09-29 12:15:00+00:00,1068.7368133055545,
2017-09-29 16:25:00+00:00,1068.7368133055545,
2017-09-29 20:35:00+00:00,1068.7368133055545,
2017-09-30 00:45:00+00:00,1068.7368133055545,
2017-09-30 04:55:00+00:00,1068.7368133055545,
2017-09-30 09:05:00+00:00,1068.7368133055545,
2017-09-30 13:15:00+00:00,1068.7368133055545,
2017-09-30 17:25:00+00:00,1068.7368133055545,
2017-09-30 21:35:00+00:00,1068.7368133055545,
2017-10-01 01:45:00+00:00,1068.7368133055545,
2017-10-01 05:55:00+00:00,1068.7368133055545,
2017-10-01 10:05:00+00:00,1068.7368133055545,
2017-10-01 14:15:00+00:00,1068.7368133055545,
2017-10-01 18:25:00+00:00,1068.7368133055545,
2017-10-01 22:35:00+00:00,1068.7368133055545,
2017-10-01 22:50:00+00:00,1073.9062997391868,TP1
2017-10-02 00:15:00+00:00,1073.799415370488,STOP
2017-10-02 02:05:00+00:00,1076.2640533100255,TP1
2017-10-02 02:05:00+00:00,1081.273864145253,TP2
2017-10-02 02:45:00+00:00,1081.273864145253,
2017-10-02 05:55:00+00:00,1084.4830622789773,TP1
2017-10-02 06:55:00+00:00,1084.4830622789773,
2017-10-02 07:00:00+00:00,1084.374924079824,STOP
2017-10-02 11:05:00+00:00,1084.374924079824,
2017-10-02 15:15:00+00:00,1084.374924079824,
2017-10-02 19:25:00+00:00,1084.374924079824,
2017-10-02 23:35:00+00:00,1084.374924079824,
2017-10-03 03:45:00+00:00,1084.374924079824,
2017-10-03 03:55:00+00:00,1087.485396693775,TP1
2017-10-03 04:25:00+00:00,1087.376948357618,STOP
2017-10-03 07:55:00+00:00,1087.376948357618,
2017-10-03 12:05:00+00:00,1087.376948357618,
2017-10-03 16:15:00+00:00,1087.376948357618,
2017-10-03 20:25:00+00:00,1087.376948357618,
2017-10-04 00:35:00+00:00,1087.376948357618,
2017-10-04 01:05:00+00:00,1090.941610676608,TP1
2017-10-04 01:20:00+00:00,1090.8328621080027,STOP
2017-10-04 03:20:00+00:00,1093.1475820389528,TP1
2017-10-04 04:00:00+00:00,1097.858834365511,TP2
2017-10-04 04:45:00+00:00,1097.858834365511,
2017-10-04 08:55:00+00:00,1097.858834365511,
2017-10-04 13:05:00+00:00,1097.858834365511,
2017-10-04 16:30:00+00:00,1091.1615758859757,STOP
2017-10-04 17:15:00+00:00,1091.1615758859757,
2017-10-04 21:25:00+00:00,1091.1615758859757,
2017-10-05 01:35:00+00:00,1091.1615758859757,
2017-10-05 01:50:00+00:00,1093.7218372747795,TP1
2017-10-05 03:25:00+00:00,1093.6127102055752,STOP
2017-10-05 05:45:00+00:00,1093.6127102055752,
2017-10-05 09:55:00+00:00,1093.6127102055752,
2017-10-05 14:05:00+00:00,1093.6127102055752,
2017-10-05 18:15:00+00:00,1093.6127102055752,
2017-10-05 22:25:00+00:00,1093.6127102055752,
2017-10-05 23:05:00+00:00,1096.7681093194356,TP1
2017-10-05 23:30:00+00:00,1096.6587371122878,STOP
2017-10-06 02:35:00+00:00,1096.6587371122878,
2017-10-06 04:35:00+00:00,1099.1230106863638,TP1
2017-10-06 05:55:00+00:00,1104.1338072397996,TP2
2017-10-06 06:45:00+00:00,1104.1338072397996,
2017-10-06 08:00:00+00:00,1106.2094062194246,TP1
2017-10-06 08:15:00+00:00,1106.0989817973625,STOP
2017-10-06 10:55:00+00:00,1106.0989817973625,
2017-10-06 15:00:00+00:00,1110.7460690661092,TP1
2017-10-06 15:05:00+00:00,1110.7460690661092,
2017-10-06 19:15:00+00:00,1110.7460690661092,
2017-10-06 19:35:00+00:00,1110.6354481069397,STOP
2017-10-06 23:25:00+00:00,1110.6354481069397,
2017-10-07 03:35:00+00:00,1110.6354481069397,
2017-10-07 07:45:00+00:00,1110.6354481069397,
2017-10-07 11:55:00+00:00,1110.6354481069397,
2017-10-07 16:05:00+00:00,1110.6354481069397,
2017-10-07 20:15:00+00:00,1110.6354481069397,
2017-10-08 00:25:00+00:00,1110.6354481069397,
2017-10-08 04:35:00+00:00,1110.6354481069397,
2017-10-08 08:45:00+00:00,1110.6354481069397,
2017-10-08 12:55:00+00:00,1110.6354481069397,
2017-10-08 17:05:00+00:00,1110.6354481069397,
2017-10-08 21:15:00+00:00,1110.6354481069397,
2017-10-09 01:25:00+00:00,1110.6354481069397,
2017-10-09 05:35:00+00:00,1110.6354481069397,
2017-10-09 09:45:00+00:00,1110.6354481069397,
2017-10-09 13:55:00+00:00,1110.6354481069397,
2017-10-09 18:05:00+00:00,1110.6354481069397,
2017-10-09 22:15:00+00:00,1110.6354481069397,
2017-10-10 00:20:00+00:00,1104.311518445852,STOP
2017-10-10 02:25:00+00:00,1104.311518445852,
2017-10-10 06:35:00+00:00,1104.311518445852,
2017-10-10 10:45:00+00:00,1104.311518445852,
2017-10-10 14:55:00+00:00,1104.311518445852,
2017-10-10 19:05:00+00:00,1104.311518445852,
2017-10-10 23:15:00+00:00,1104.311518445852,
2017-10-11 03:25:00+00:00,1104.311518445852,
2017-10-11 07:35:00+00:00,1104.311518445852,
2017-10-11 11:45:00+00:00,1104.311518445852,
2017-10-11 15:55:00+00:00,1104.311518445852,
2017-10-11 20:05:00+00:00,1104.311518445852,
2017-10-12 00:15:00+00:00,1104.311518445852,
2017-10-12 04:25:00+00:00,1104.311518445852,
2017-10-12 08:35:00+00:00,1104.311518445852,
2017-10-12 12:45:00+00:00,1104.311518445852,
2017-10-12 16:55:00+00:00,1104.311518445852,
2017-10-12 21:05:00+00:00,1104.311518445852,
2017-10-13 01:15:00+00:00,1104.311518445852,
2017-10-13 05:25:00+00:00,1104.311518445852,
2017-10-13 07:50:00+00:00,1108.977116590671,TP1
2017-10-13 08:10:00+00:00,1118.391136244192,TP2
2017-10-13 09:35:00+00:00,1118.391136244192,
