side,signal_ts,entry_ts,exit_ts,entry,exit,stop,tp1,tp2,qty,pnl_gross_usdt,pnl_net_usdt,fees_usdt,tp1_pnl_gross_usdt,tp1_fee_usdt,pnl_R,exit_reason,took_tp1,funding_cost_usdt,holding_hours,tp_fill_price,tp_bidask_half_spread_bps
SHORT,2022-01-24 11:30:00+00:00,2022-01-24 11:35:00+00:00,2022-01-24 14:35:00+00:00,83.863223990002,87.57463561465408,87.53961976674739,80.22038021325261,76.56076043650522,47.774220794490944,-177.30979841536913,-177.71044843331276,0.0,0.0,0.0,-1.0095245044421441,STOP,False,0.40065001794362054,3.0,,1.0
SHORT,2022-01-26 02:40:00+00:00,2022-01-26 02:45:00+00:00,2022-01-26 03:20:00+00:00,93.091377990002,94.09199330115005,94.05437155252905,92.16562842747096,91.22125686494192,179.4888542929874,-179.59929578598513,-181.27018226398323,0.0,0.0,0.0,-1.0390674975254055,STOP,False,1.6708864779980888,0.5833333333333334,,1.0
SHORT,2022-01-27 05:10:00+00:00,2022-01-27 05:15:00+00:00,2022-01-27 05:45:00+00:00,87.52249199000201,88.74268492014656,88.70720203933082,86.3727979406692,85.20559589133839,140.56355059636863,-171.51465067370458,-172.74489789682028,0.0,0.0,0.0,-1.029950687795581,STOP,False,1.2302472231156916,0.5,,1.0
LONG,2022-01-28 17:30:00+00:00,2022-01-28 17:35:00+00:00,2022-01-28 17:50:00+00:00,91.308258010002,90.3368059590765,90.37295514113295,92.20704487886705,93.1240897477341,173.25620891012923,-168.31009948132308,-169.89207174382318,0.0,0.0,0.0,-1.0386497072335068,STOP,False,1.581972262500089,0.25,,1.0
LONG,2022-01-29 09:20:00+00:00,2022-01-29 09:25:00+00:00,2022-01-29 11:10:00+00:00,96.25924801000198,96.22074431079798,94.99960625627939,97.48039376372058,98.72078751744118,123.98236831392369,72.70908888903217,72.1123664120123,0.0,75.0959787971116,0.0,0.4655665039968704,STOP,True,0.5967224770198696,1.75,97.47064572434421,1.0
LONG,2022-01-29 22:30:00+00:00,2022-01-29 22:35:00+00:00,2022-01-29 23:00:00+00:00,95.789154010002,95.1239283117314,95.161993108975,96.37800691102498,96.98601381204998,256.49433576746054,-170.62662361335993,-173.08356115651216,0.0,0.0,0.0,-1.060693830213682,STOP,False,2.456937543152244,0.4166666666666667,,1.0
SHORT,2022-01-30 15:50:00+00:00,2022-01-30 16:00:00+00:00,2022-01-30 16:05:00+00:00,94.841027990002,95.49693571079408,95.45875220991012,94.2612477700899,93.66249555017978,251.78665627056083,-165.14881184028047,-167.536782371767,0.0,0.0,0.0,-1.0618131840283678,STOP,False,2.3879705314865274,0.08333333333333333,,1.0
LONG,2022-02-01 07:00:00+00:00,2022-02-01 07:05:00+00:00,2022-02-01 08:40:00+00:00,105.32106001000199,106.77169920150551,104.55881129537526,106.04118872462472,106.78237743924944,196.618908301073,212.3645228006761,211.32911720866218,0.0,69.75297571458881,0.0,1.416967812344321,TP2,True,1.0354055920139194,1.5833333333333333,106.77169920150551,1.0
LONG,2022-02-01 10:20:00+00:00,2022-02-01 10:25:00+00:00,2022-02-01 14:00:00+00:00,105.40107601000199,108.62421023832908,103.75246314214816,107.00753687785182,108.63507374570365,93.43664800144704,225.13066721766143,224.6382510557554,0.0,74.55123804085407,0.0,1.461499675409669,TP2,True,0.492416161906016,3.5833333333333335,108.62421023832908,1.0
LONG,2022-02-01 15:20:00+00:00,2022-02-01 15:25:00+00:00,2022-02-01 16:30:00+00:00,107.921580010002,111.75426921749172,105.96727713396604,109.83272288603396,111.76544576206793,82.16942994352544,235.53245938571996,235.08906665031864,0.0,78.0675157206536,0.0,1.4667247542666906,TP2,True,0.44339273540132185,1.0833333333333333,111.75426921749172,1.0
LONG,2022-02-01 17:50:00+00:00,2022-02-01 17:55:00+00:00,2022-02-01 18:50:00+00:00,111.34226401000198,111.29772710439798,110.11876460117553,112.52123541882445,113.7224708276489,138.07735581516607,77.54302654196391,76.77433427171515,0.0,80.61779562295925,0.0,0.459004054915687,STOP,True,0.7686922702487602,0.9166666666666666,112.50998329528257,1.0
LONG,2022-02-02 09:00:00+00:00,2022-02-02 09:05:00+00:00,2022-02-02 12:45:00+00:00,109.62192001000199,111.6451358023262,108.57184929876526,110.62815072123472,111.65630143246945,163.56224544962637,246.84680685855116,245.95030648918438,0.0,81.38594784770493,0.0,1.4372287771601093,TP2,True,0.8965003693667627,3.6666666666666665,111.6451358023262,1.0
SHORT,2022-02-02 17:15:00+00:00,2022-02-02 17:30:00+00:00,2022-02-02 18:35:00+00:00,105.42890999000201,106.67434808457527,106.6316954064127,104.26830457358732,103.08660915717462,148.55363382703615,-185.0143546554776,-186.58053942442143,0.0,0.0,0.0,-1.0354615857330984,STOP,False,1.5661847689438313,1.0833333333333333,,1.0
SHORT,2022-02-02 22:50:00+00:00,2022-02-02 22:55:00+00:00,2022-02-03 09:55:00+00:00,101.299735990002,95.88844293537221,104.04057246006639,98.59942751993361,95.87885504986723,62.467636452256954,253.04832388557418,252.73192613154754,0.0,84.03298024895567,0.0,1.477968800844929,TP2,True,0.31639775402665277,11.0,95.88844293537221,1.0
LONG,2022-02-04 00:40:00+00:00,2022-02-04 00:45:00+00:00,2022-02-04 02:40:00+00:00,100.970190010002,102.76847654025187,100.03562280715327,101.86437721284672,102.77875441569344,194.15367009738492,260.3879613261572,259.4077746781136,0.0,85.8159964588053,0.0,1.4350424919669844,TP2,True,0.98018664804361,1.9166666666666667,102.76847654025187,1.0
LONG,2022-02-04 04:35:00+00:00,2022-02-04 04:40:00+00:00,2022-02-04 05:10:00+00:00,102.260448010002,103.5136205972049,101.5980135177478,102.88198650225218,103.52397299450436,288.65392849047805,269.0864944556403,267.61060045327616,0.0,88.21989926929206,0.0,1.4072507565679704,TP2,True,1.4758940023641682,0.5,103.5136205972049,1.0
SHORT,2022-02-05 12:30:00+00:00,2022-02-05 12:35:00+00:00,2022-02-05 13:35:00+00:00,114.837027990002,114.882962801198,115.46349605347689,114.25650392652312,113.65300786304624,320.3670292829011,83.80218448325574,81.96268460781403,0.0,91.16018398502334,0.0,0.41755009743700094,STOP,True,1.8394998754417153,1.0,114.26792957691578,1.0
SHORT,2022-02-05 18:15:00+00:00,2022-02-05 18:20:00+00:00,2022-02-05 19:50:00+00:00,113.547285990002,113.59270490439799,115.00073812064734,112.13926185935266,110.70852372870532,136.8518231143098,92.47018089326215,91.69322323839147,0.0,95.57801151274451,0.0,0.4648901954092501,STOP,True,0.7769576548706851,1.5,112.15047578553859,1.0
LONG,2022-02-06 11:35:00+00:00,2022-02-06 11:40:00+00:00,2022-02-06 11:45:00+00:00,114.82296001000199,114.11511141496733,114.16077572525744,115.43922429474254,116.0784485794851,310.6107246150163,-219.86536502143753,-223.4318893025523,0.0,0.0,0.0,-1.0689601238539244,STOP,False,3.5665242811147757,0.08333333333333333,,1.0
LONG,2022-02-08 06:50:00+00:00,2022-02-08 06:55:00+00:00,2022-02-08 08:05:00+00:00,118.143624010002,116.52881333906878,116.57544351647536,119.66455650352464,121.20911299704927,124.2084458552459,-200.57312378708264,-202.04056737968153,0.0,0.0,0.0,-1.0297352107101643,STOP,False,1.4674435925988862,1.1666666666666667,,1.0
