"ts","open","high","low","close","volume"
"1753261500000","199.9829","199.9829","199.5155","199.5155","110.67"
"1753261800000","199.5155","199.6499","199.1789","199.2865","142.4"
"1753262100000","199.2865","199.2884","199.0772","199.1196","130.42"
"1753262400000","199.1196","199.1209","198.73","198.7707","224.99"
"1753262700000","198.7707","198.7752","198.4825","198.537","406.18"
"1753263000000","198.537","198.5565","197.6639","198.3137","795.58"
"1753263300000","198.3137","198.603","198.3137","198.3959","161.74"
"1753263600000","198.3959","198.6893","198.1965","198.1974","341.73"
"1753263900000","198.1974","198.3216","197.5757","197.9385","294.76"
"1753264200000","197.9385","197.9717","197.9284","197.9717","169.22"
"1753264500000","197.9717","198.0376","197.945","197.9505","177.31"
"1753264800000","197.9505","197.9531","197.1352","197.1478","386.51"
"1753265100000","197.1478","197.8095","197.1478","197.3148","405"
"1753265400000","197.3148","197.3177","196.0543","196.0562","699.27"
"1753265700000","196.0562","196.9053","196.0562","196.5032","393.06"
"1753266000000","196.5032","197.5663","196.5026","197.1051","437.2"
"1753266300000","197.1051","197.3367","197.1","197.2","290.8"
"1753266600000","197.2","197.6244","197.0987","197.4074","187.66"
"1753266900000","197.4074","197.5038","197.1956","197.4948","193.15"
"1753267200000","197.4948","197.6711","197.4921","197.6698","209.77"
"1753267500000","197.6698","198.4061","197.6679","198.3009","258.37"
"1753267800000","198.3009","198.3031","197.9897","198.0663","124.37"
"1753268100000","198.0663","198.1019","197.9976","198.0481","126.76"
"1753268400000","198.0481","198.1034","198","198.0058","246.41"
"1753268700000","198.0058","198.0215","197.4","197.4035","138.78"
"1753269000000","197.4035","197.8009","197.1929","197.1951","307.53"
"1753269300000","197.1951","197.7142","197.1935","197.7104","211.56"
"1753269600000","197.7104","198.1009","197.6461","198.0775","231.33"
"1753269900000","198.0775","198.3071","198.0754","198.2044","198.96"
"1753270200000","198.2044","198.2078","197.9524","197.9558","229.26"
"1753270500000","197.9558","197.9578","197.6918","197.6958","183.12"
"1753270800000","197.6958","197.9486","197.6956","197.6985","279.12"
"1753271100000","197.6985","197.7062","197.3316","197.3358","260.34"
"1753271400000","197.3358","197.5103","197.1431","197.5061","244.61"
"1753271700000","197.5061","197.5417","197.4985","197.5414","148.91"
"1753272000000","197.5414","197.5423","196.8159","197.199","297.19"
"1753272300000","197.199","197.2034","196.7996","196.8042","250"
"1753272600000","196.8042","197.5673","196.8019","197.5657","673.08"
"1753272900000","197.5657","197.5667","196.8454","197.1862","205.81"
"1753273200000","197.1862","197.1925","196.5","196.8012","271.54"
"1753273500000","196.8012","196.9041","196.795","196.8997","191.73"
"1753273800000","196.8997","196.939","196.7997","196.9356","219.72"
"1753274100000","196.9356","196.9425","196.2645","196.2682","311.7"
"1753274400000","196.2682","196.2724","195.2062","195.4024","649.57"
"1753274700000","195.4024","196.0035","195.3988","195.9986","437.57"
"1753275000000","195.9986","196.0433","194.9756","195.1025","502.17"
"1753275300000","195.1025","195.1789","193.8185","194.2025","632.68"
"1753275600000","194.2025","194.8028","193.7808","194.8027","615.65"
"1753275900000","194.8027","194.8056","194.385","194.5045","1116.78"
"1753276200000","194.5045","194.5047","193.8485","194.0713","461.95"
"1753276500000","194.0713","194.0767","191.9979","192.2126","609.24"
"1753276800000","192.2126","193.1221","192.2118","193.103","622.8"
"1753277100000","193.103","194.0024","192.9981","194.001","636.44"
"1753277400000","194.001","194.4015","193.5952","193.701","643.5"
"1753277700000","193.701","193.7039","192.498","192.5006","543.1"
"1753278000000","192.5006","192.543","188.2116","189.6284","1211.83"
"1753278300000","189.6284","190.5187","188.8145","189.0279","357.7"
"1753278600000","189.0279","190.291","187.8778","190.2904","342.46"
"1753278900000","190.2904","190.6777","189.4023","189.5088","660.94"
"1753279200000","189.5088","190.9044","189.0981","190.9014","647.11"
"1753279500000","190.9014","191.5833","190.8764","190.8785","740.69"
