side,signal_ts,entry_ts,exit_ts,entry,exit,stop,tp1,tp2,qty,pnl_gross_usdt,pnl_net_usdt,fees_usdt,tp1_pnl_gross_usdt,tp1_fee_usdt,pnl_R,exit_reason,took_tp1,funding_cost_usdt,holding_hours,tp_fill_price,tp_bidask_half_spread_bps,fee_taker_rate_applied,fee_maker_rate_applied,fee_paid_usd,notional_usd,risk_per_trade,risk_usd
LONG,2017-09-08 10:45:00+00:00,2017-09-08 10:50:00+00:00,2017-09-08 13:00:00+00:00,4644.948804010002,4644.0198142492,4607.066716560883,4680.973283459118,4717.926566908235,0.03236454949993111,0.5603499770438508,0.5603499770438508,0.0,0.5753831445930588,0.0,0.45704176685717984,STOP,True,0.0,2.1666666666666665,4680.505186130772,1.0,0.0,0.0,0.0,150.33167549202753,0.03,150.30161516899372
LONG,2017-09-10 16:25:00+00:00,2017-09-10 16:30:00+00:00,2017-09-10 17:10:00+00:00,4100.820000010002,4162.782250012415,4068.400715080299,4131.599284939701,4163.198569869402,0.036663030650716674,1.6925190213442387,1.6925190213442387,0.0,0.5566570858313298,0.0,1.423973033393833,TP2,True,0.0,0.6666666666666666,4162.782250012415,1.0,0.0,0.0,0.0,150.34848935343868,0.03,150.318425668305
LONG,2017-09-11 15:35:00+00:00,2017-09-11 15:40:00+00:00,2017-09-11 15:45:00+00:00,4222.704372010002,4237.721891128311,4213.717147165559,4230.00285285444,4238.14570569888,0.03561681373579161,0.3898794458149438,0.3898794458149438,0.0,0.12244135520969535,0.0,1.2180066737174857,TP2,True,0.0,0.08333333333333333,4237.721891128311,1.0,0.0,0.0,0.0,150.39927507919313,0.03,150.36920123894532
LONG,2017-09-12 00:00:00+00:00,2017-09-12 00:10:00+00:00,2017-09-12 00:20:00+00:00,4210.521936010002,4209.6798316228,4199.80151174258,4219.55848827742,4229.43697654484,0.03572264343654685,0.13882698072534722,0.13882698072534722,0.0,0.15386807810553518,0.0,0.3625086021552559,STOP,True,0.0,0.16666666666666666,4219.136532428593,1.0,0.0,0.0,0.0,150.41097380184425,0.03,150.3808976223198
LONG,2017-09-12 00:35:00+00:00,2017-09-12 00:45:00+00:00,2017-09-12 02:10:00+00:00,4232.516334010002,4231.6698307432,4199.094176307533,4264.2458237124665,4296.821647414933,0.03553799384909177,0.5411825539033788,0.5411825539033788,0.0,0.5562240678477989,0.0,0.4556342849618342,STOP,True,0.0,1.4166666666666667,4263.819399130095,1.0,0.0,0.0,0.0,150.4151394442279,0.03,150.38506243174157
LONG,2017-09-12 02:20:00+00:00,2017-09-12 02:25:00+00:00,2017-09-12 02:40:00+00:00,4237.817394010002,4290.406098245654,4210.037409133085,4263.902590886915,4290.83518176383,0.03549737144893726,1.3887904788602998,1.3887904788602998,0.0,0.4554100947246859,0.0,1.408343294644719,TP2,True,0.0,0.25,4290.406098245654,1.0,0.0,0.0,0.0,150.43137816794038,0.03,150.40129790835869
LONG,2017-09-12 10:30:00+00:00,2017-09-12 10:35:00+00:00,2017-09-12 11:05:00+00:00,4314.752778010003,4350.861496892856,4295.186686737245,4332.593313282756,4351.2966265555115,0.03487408385989808,0.933160645673873,0.933160645673873,0.0,0.30353140047681765,0.0,1.3675698962620249,TP2,True,0.0,0.5,4350.861496892856,1.0,0.0,0.0,0.0,150.47305021504906,0.03,150.44296162272448
LONG,2017-09-16 07:10:00+00:00,2017-09-16 07:15:00+00:00,2017-09-16 09:45:00+00:00,3820.753998010002,3772.628118443219,3773.3827950022196,3866.5972050177797,3913.20441002556,0.03939040584967521,-1.8956979280081625,-1.8956979280081625,0.0,0.0,0.0,-1.0159311250524183,STOP,False,0.0,2.5,,1.0,0.0,0.0,0.0,150.50105063338313,0.03,150.4709564420947
LONG,2017-09-17 20:10:00+00:00,2017-09-17 20:20:00+00:00,2017-09-17 20:35:00+00:00,3720.733998010002,3694.8397329783884,3695.578848748138,3744.401151271861,3768.8123025337227,0.04043400264620338,-1.0470087808097512,-1.0470087808097512,0.0,0.0,0.0,-1.0293822851955927,STOP,False,0.0,0.25,,1.0,0.0,0.0,0.0,150.4441683213553,0.03,150.41408550425444
LONG,2017-09-17 20:40:00+00:00,2017-09-17 20:45:00+00:00,2017-09-18 02:10:00+00:00,3720.744000010002,3810.6150544189377,3674.5019229978293,3765.4980770221705,3810.996154034341,0.04042545033344782,2.713529684174203,2.713529684174203,0.0,0.8969907609626916,0.0,1.4515846852863377,TP2,True,0.0,5.416666666666667,3810.6150544189377,1.0,0.0,0.0,0.0,150.4127517758783,0.03,150.38267524083014
